LLAVE,CANAL,CATEGORIA,TIPO_PROD,FABRICACION,PIEZAS,SUB_TOTAL,COSTO
BOUTIQUE117 MIXCOACROPAPLAYERA,BOUTIQUE,117 MIXCOAC,ROPA,PLAYERA,97,26731.06,11529
BOUTIQUE153 GRAND PLAZA TOLUCAROPACHAMARRA,BOUTIQUE,153 GRAND PLAZA TOLUCA,ROPA,CHAMARRA,9,2854.29,2900
BOUTIQUE124 SATELITEROPASUDADERA,BOUTIQUE,124 SATELITE,ROPA,SUDADERA,53,26393.48,13056.5
BOUTIQUE124 SATELITEACCESORIOSMOCHILA,BOUTIQUE,124 SATELITE,ACCESORIOS,MOCHILA,12,7567.2,2756
BOUTIQUE114 INSURGENTESACCESORIOSPLANTILLA,BOUTIQUE,114 INSURGENTES,ACCESORIOS,PLANTILLA,28,1198.18,397.6
BOUTIQUE130 TOLUCAROPACHAMARRA,BOUTIQUE,130 TOLUCA,ROPA,CHAMARRA,18,9818.09,5260.43
BOUTIQUE130 TOLUCAROPAPLAYERA,BOUTIQUE,130 TOLUCA,ROPA,PLAYERA,71,20309.24,8758
BOUTIQUE130 TOLUCAACCESORIOSLLAVERO,BOUTIQUE,130 TOLUCA,ACCESORIOS,LLAVERO,29,987.86,331.7
BOUTIQUE117 MIXCOACACCESORIOSBOLSA,BOUTIQUE,117 MIXCOAC,ACCESORIOS,BOLSA,182,8471.29,4480
BOUTIQUE170 FORUM BUENAVISTAACCESORIOSLLAVERO,BOUTIQUE,170 FORUM BUENAVISTA,ACCESORIOS,LLAVERO,64,2061.92,677
BOUTIQUE161 GRAN PATIO ECATEPECROPAPLAYERA,BOUTIQUE,161 GRAN PATIO ECATEPEC,ROPA,PLAYERA,80,21766.08,9346
BOUTIQUE117 MIXCOACROPACHAMARRA,BOUTIQUE,117 MIXCOAC,ROPA,CHAMARRA,39,20222.83,10620.43
BOUTIQUE159 TOWN CENTER ZUMPANGOACCESORIOSLIMPIEZA,BOUTIQUE,159 TOWN CENTER ZUMPANGO,ACCESORIOS,LIMPIEZA,38,5415.28,1643.11
BOUTIQUE172 COSMOPOLACCESORIOSMOCHILA,BOUTIQUE,172 COSMOPOL,ACCESORIOS,MOCHILA,14,9160.3,3218
BOUTIQUE170 FORUM BUENAVISTAACCESORIOSPLANTILLA,BOUTIQUE,170 FORUM BUENAVISTA,ACCESORIOS,PLANTILLA,61,2629.1,866.2
BOUTIQUE156 TOWN CENTER EL ROSARIOROPASUDADERA,BOUTIQUE,156 TOWN CENTER EL ROSARIO,ROPA,SUDADERA,90,50424.26,20273.5
BOUTIQUE115 LA VILLAACCESORIOSBOLSA,BOUTIQUE,115 LA VILLA,ACCESORIOS,BOLSA,55,2812.89,1520
BOUTIQUE151 SENDERO TOLUCAACCESORIOSLLAVERO,BOUTIQUE,151 SENDERO TOLUCA,ACCESORIOS,LLAVERO,25,840.46,285.6
